origem,destino,haversine_distance
0,8611,32065.6
0,7436,13475.9
0,5620,27613.9
0,2403,19806.0
0,7970,3357.0
0,355,6063.0
0,7164,15683.7
0,6271,18242.6
0,7002,3701.8
0,2450,20756.3
0,4807,6962.5
0,5388,5512.5
0,9985,31442.8
0,909,22303.6
0,1344,7150.9
0,4757,7512.8
0,3681,19138.5
0,2956,24963.9
0,5631,28628.4
0,4509,18636.1
0,4143,19738.1
0,5658,30560.4
0,5836,9438.2
0,4035,2510.9
0,6389,28198.5
0,688,20754.9
0,5865,34103.3
0,4678,2134.9
0,5001,40690.8
0,1253,6261.4
0,1380,17544.3
0,6222,41531.3
0,3614,7122.6
0,1991,18889.8
0,7939,29104.9
0,2611,18065.2
0,9645,34199.8
0,4771,1278.5
0,7593,6170.1
0,5868,35274.3
0,9274,3810.2
0,570,49977.6
0,407,26544.8
0,8183,28683.8
0,9358,6402.5
0,1805,49633.4
0,6557,30067.4
0,7971,12699.7
0,6219,15380.8
0,9527,15223.0
0,6004,7697.5
0,6927,19550.6
0,4902,15746.9
0,4793,32071.6
0,2346,23421.9
0,5299,7407.0
0,611,26306.3
0,359,357.2
0,9525,2037.0
0,6096,15986.7
0,6693,27948.2
0,8667,13049.5
0,6679,4979.3
0,282,19890.1
0,5776,23416.9
0,5821,25457.9
0,8929,41864.5
0,506,7648.4
0,7569,6931.6
0,7573,1183.3
0,4373,5303.9
0,9427,5319.3
0,5775,22955.0
0,7642,12970.8
0,3355,7720.5
0,1946,36977.9
0,9735,16971.4
0,3798,33493.6
0,5542,26798.1
0,7468,32354.3
0,7723,16231.1
0,1259,16625.1
0,8544,11937.0
0,8138,14334.1
0,7114,26913.8
0,2234,47073.3
0,2612,14799.2
0,5499,5657.7
0,3141,13978.8
0,1827,20087.3
0,7387,25374.4
0,5781,8951.6
0,5786,433.9
0,6331,6834.2
0,4106,34779.4
0,3901,9110.8
0,8987,3833.8
0,9900,9505.7
0,7307,15795.3
0,9952,36953.5
0,7254,2791.1
0,6254,13223.2
0,7209,3271.9
0,6891,46885.6
0,9494,50865.9
0,5621,20257.0
0,6120,15882.3
0,5711,2096.4
0,7026,6536.5
0,9309,20781.1
0,6260,13094.6
0,4243,40452.4
0,6345,27271.9
0,4023,14887.2
0,7156,9644.7
0,3159,3169.8
0,7347,36483.5
0,6809,6249.7
0,9290,1533.9
0,2958,3981.7
0,3943,544.5
0,4873,5672.0
0,7101,39917.1
0,3097,151.3
0,7700,22854.9
0,5683,24447.2
0,8864,24861.2
0,1830,28369.9
0,4461,13026.0
0,566,7961.2
0,2695,14604.2
0,8446,12564.7
0,4644,42537.2
0,8746,7145.2
0,4671,5525.6
0,1815,28234.3
0,595,18598.2
0,419,16038.3
0,1593,11522.4
0,2091,14909.8
0,3848,2986.2
0,4747,26162.7
0,8975,22223.3
0,7517,22824.1
0,841,29620.5
0,4059,6161.8
0,2951,17402.1
0,4789,13351.5
0,3931,3367.5
0,325,5192.6
0,4801,44203.2
0,820,27220.3
0,7936,7709.0
0,1741,49052.9
0,8398,21807.0
0,289,20978.4
0,4340,37988.3
0,696,27125.8
0,387,7922.8
0,1025,26095.1
0,1230,7628.2
0,1762,19629.9
0,7981,22121.9
0,9117,21249.9
0,1089,43448.4
0,1976,1547.6
0,8875,3648.8
0,4042,44466.8
0,2550,15445.6
0,8165,14406.6
0,893,26855.1
0,8965,12943.3
0,9514,12942.8
0,2163,45454.9
0,1600,1695.2
0,1322,12588.4
